,Kolejka,season,home,away,date,hour,gh,ga,IsCancelled,IsWalkover
264,19,1928,PogoÒ LwÛw,Warta PoznaÒ,6/17/1928,17:30,1,1,0,0
265,19,1928,Ruch ChorzÛw,Hasmonea LwÛw,6/17/1928,17:00,2,1,0,0
266,19,1928,Polonia Warszawa,£ÅKS £ÅÛdü,6/17/1928,17:30,3,0,0,0
267,19,1928,Cracovia,Klub TurystÛw £ÅÛdü,6/17/1928,17:30,5,1,0,0
268,20,1928,Wis≥a KrakÛw,PogoÒ LwÛw,6/24/1928,18:00,6,1,0,0
269,20,1928,Warta PoznaÒ,Ruch ChorzÛw,6/24/1928,17:30,1,0,0,0
270,20,1928,Hasmonea LwÛw,Legia Warszawa,6/24/1928,17:45,2,2,0,0
271,20,1928,£ÅKS £ÅÛdü,ålπsk åwiÍtoch≥owice,6/24/1928,17:00,8,3,0,0
272,20,1928,Polonia Warszawa,Cracovia,6/24/1928,17:30,1,3,0,0
273,21,1928,Warszawianka Warszawa,1. FC Katowice,7/1/1928,15:30,3,0,0,1
274,21,1928,TKS ToruÒ,£ÅKS £ÅÛdü,7/1/1928,17:30,2,0,0,0
275,22,1928,1. FC Katowice,Cracovia,7/8/1928,17:00,1,1,0,0
